Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2015-12-23 00:04:00,54.3,48.4,29.93,NW,323,3.6,4.9,80,0.00,,,0.00,0.00,Weather logger V3.0.,2015-12-23 08:04:00,

2015-12-23 00:09:00,54.3,48.6,29.94,WSW,258,2.7,4.9,81,0.00,,,0.00,0.00,Weather logger V3.0.,2015-12-23 08:09:00,

2015-12-23 00:15:00,54.3,48.6,29.94,WNW,287,4.9,7.4,81,0.00,,,0.00,0.00,Weather logger V3.0.,2015-12-23 08:15:00,

2015-12-23 00:20:00,54.1,48.7,29.94,WNW,303,2.5,4.9,82,0.00,,,0.00,0.00,Weather logger V3.0.,2015-12-23 08:20:00,

2015-12-23 00:25:00,54.1,48.7,29.94,North,2,3.6,4.9,82,0.00,,,0.00,0.00,Weather logger V3.0.,2015-12-23 08:25:00,

2015-12-23 00:30:00,54.1,48.7,29.93,WNW,298,3.4,4.9,82,0.00,,,0.00,0.00,Weather logger V3.0.,2015-12-23 08:30:00,

2015-12-23 00:35:00,54.0,48.6,29.93,NNW,341,6.0,7.4,82,0.00,,,0.00,0.00,Weather logger V3.0.,2015-12-23 08:35:00,

2015-12-23 00:40:00,54.0,48.6,29.94,WNW,290,4.5,9.8,82,0.00,,,0.00,0.00,Weather logger V3.0.,2015-12-23 08:40:00,

2015-12-23 00:45:00,54.0,48.4,29.93,North,3,5.6,7.4,81,0.00,,,0.00,0.00,Weather logger V3.0.,2015-12-23 08:45:00,

2015-12-23 00:50:00,54.0,48.4,29.94,NW,323,9.6,9.8,81,0.00,,,0.00,0.00,Weather logger V3.0.,2015-12-23 08:50:00,

2015-12-23 00:55:00,54.0,48.4,29.93,WNW,288,2.9,7.4,81,0.00,,,0.00,0.00,Weather logger V3.0.,2015-12-23 08:55:00,

