Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2015-04-11 00:04:00,57.2,44.0,29.97,SSE,152,0.0,0.0,61,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 07:04:00,

2015-04-11 00:09:00,56.8,44.0,29.97,SSE,152,0.0,0.0,62,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 07:09:00,

2015-04-11 00:14:00,56.9,44.6,29.97,SSE,152,0.0,0.0,63,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 07:14:00,

2015-04-11 00:19:00,56.8,44.3,29.97,SSE,152,0.0,0.0,63,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 07:19:00,

2015-04-11 00:24:00,56.7,44.8,29.98,SSE,152,0.0,0.0,64,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 07:24:00,

2015-04-11 00:29:00,56.3,44.4,29.98,SSE,152,0.0,0.0,64,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 07:29:00,

2015-04-11 00:34:00,55.9,44.8,29.98,SSE,153,0.0,0.0,66,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 07:34:00,

2015-04-11 00:39:00,55.7,44.9,29.98,SSE,152,0.0,0.0,67,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 07:39:00,

2015-04-11 00:44:00,55.5,45.1,29.98,SSE,153,0.0,0.0,68,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 07:44:00,

2015-04-11 00:49:00,55.3,45.4,29.98,SSE,152,0.0,0.0,69,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 07:49:00,

2015-04-11 00:54:00,55.0,45.1,29.98,SSE,153,0.0,0.0,69,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 07:54:00,

2015-04-11 00:59:00,54.5,44.7,29.98,SSE,153,0.0,0.0,69,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 07:59:00,

2015-04-11 01:04:00,54.3,45.5,29.98,SSE,152,0.0,0.0,72,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 08:04:00,

2015-04-11 01:09:00,54.5,45.4,29.98,SSE,153,0.0,0.0,71,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 08:09:00,

2015-04-11 01:14:00,54.5,45.4,29.98,SSE,152,0.0,0.0,71,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 08:14:00,

2015-04-11 01:19:00,54.4,44.9,29.98,SSE,152,0.0,0.0,70,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 08:19:00,

2015-04-11 01:24:00,54.1,45.0,29.98,SSE,152,0.0,0.0,71,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 08:24:00,

2015-04-11 01:29:00,53.8,45.0,29.98,SSE,152,0.0,0.0,72,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 08:29:00,

2015-04-11 01:34:00,53.9,45.2,29.98,SSE,152,0.0,0.0,72,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 08:34:00,

2015-04-11 01:39:00,53.9,44.8,29.98,SSE,153,0.0,0.0,71,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 08:39:00,

2015-04-11 01:44:00,53.9,44.8,29.98,SSE,153,0.0,0.0,71,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 08:44:00,

2015-04-11 01:49:00,54.3,45.1,29.98,SSW,212,0.0,0.0,71,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 08:49:00,

2015-04-11 01:54:00,54.6,45.1,29.98,SSW,211,1.0,1.0,70,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 08:54:00,

2015-04-11 01:59:00,54.6,45.1,29.98,SSW,211,0.0,1.0,70,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 08:59:00,

2015-04-11 02:04:00,54.3,44.8,29.98,SSW,211,0.0,1.0,70,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 09:04:00,

2015-04-11 02:09:00,54.1,45.0,29.98,SSW,212,0.0,1.0,71,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 09:09:00,

2015-04-11 02:14:00,53.9,44.7,29.98,SSW,212,0.0,0.0,71,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 09:14:00,

2015-04-11 02:19:00,54.1,45.0,29.98,SSW,211,0.0,0.0,71,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 09:19:00,

2015-04-11 02:24:00,54.0,44.9,29.98,SSW,211,0.0,0.0,71,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 09:24:00,

2015-04-11 02:29:00,53.7,45.0,29.98,SSW,211,0.0,0.0,72,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 09:29:00,

2015-04-11 02:34:00,53.2,44.5,29.98,SSW,211,0.0,0.0,72,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 09:34:00,

2015-04-11 02:39:00,52.7,44.6,29.98,SSW,211,0.0,0.0,74,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 09:39:00,

2015-04-11 02:44:00,52.5,44.9,29.98,SSW,211,0.0,0.0,75,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 09:44:00,

2015-04-11 02:49:00,52.6,44.6,29.98,SSW,212,0.0,0.0,74,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 09:49:00,

2015-04-11 02:54:00,52.4,44.4,29.98,SSW,212,0.0,0.0,74,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 09:54:00,

2015-04-11 02:59:00,52.2,44.2,29.98,SSW,211,0.0,0.0,74,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 09:59:00,

2015-04-11 03:04:00,52.3,44.3,29.98,SSW,211,0.0,0.0,74,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 10:04:00,

2015-04-11 03:09:00,52.4,44.8,29.97,SSW,211,0.0,0.0,75,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 10:09:00,

2015-04-11 03:14:00,52.5,44.5,29.98,SSW,211,0.0,0.0,74,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 10:14:00,

2015-04-11 03:19:00,52.3,44.3,29.98,SSW,211,0.0,0.0,74,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 10:19:00,

2015-04-11 03:24:00,52.2,44.6,29.98,SW,224,1.0,1.0,75,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 10:24:00,

2015-04-11 03:29:00,52.5,44.8,29.98,SW,224,0.0,1.0,75,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 10:29:00,

2015-04-11 03:34:00,52.6,44.6,29.98,SW,224,0.0,1.0,74,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 10:34:00,

2015-04-11 03:39:00,52.5,44.5,29.98,SW,224,0.0,1.0,74,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 10:39:00,

2015-04-11 03:44:00,52.3,44.3,29.98,SW,224,0.0,0.0,74,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 10:44:00,

2015-04-11 03:49:00,52.1,44.2,29.98,SW,224,0.0,0.0,74,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 10:49:00,

2015-04-11 03:54:00,51.8,43.4,29.98,SW,224,0.0,1.0,73,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 10:54:00,

2015-04-11 03:59:00,51.3,43.4,29.98,SW,224,0.0,1.0,74,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 10:59:00,

2015-04-11 04:04:00,51.4,43.8,29.98,SW,224,1.0,1.0,75,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 11:04:00,

2015-04-11 04:09:00,51.7,43.8,29.98,WSW,254,1.3,2.0,74,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 11:09:00,

2015-04-11 04:14:00,52.0,43.7,29.98,West,263,1.3,2.0,73,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 11:14:00,

2015-04-11 04:19:00,52.2,43.9,29.98,West,269,1.5,3.0,73,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 11:19:00,

2015-04-11 04:24:00,52.4,43.6,29.98,WNW,284,2.0,3.0,72,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 11:24:00,

2015-04-11 04:29:00,52.5,43.8,29.99,WSW,255,0.0,3.0,72,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 11:29:00,

2015-04-11 04:34:00,52.2,43.5,29.99,WSW,257,0.0,3.0,72,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 11:34:00,

2015-04-11 04:39:00,51.8,43.5,29.99,West,259,0.0,3.0,73,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 11:39:00,

2015-04-11 04:44:00,51.6,43.3,29.99,West,259,0.0,2.0,73,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 11:44:00,

2015-04-11 04:49:00,51.1,43.2,29.98,WSW,257,0.0,1.0,74,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 11:49:00,

2015-04-11 04:54:00,50.6,43.0,29.99,WSW,257,0.0,0.0,75,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 11:54:00,

2015-04-11 04:59:00,50.1,42.8,29.99,WSW,257,0.0,0.0,76,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 11:59:00,

2015-04-11 05:04:00,49.6,42.7,29.99,WSW,257,0.0,0.0,77,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 12:04:00,

2015-04-11 05:09:00,49.3,43.1,29.99,WSW,257,0.0,0.0,79,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 12:09:00,

2015-04-11 05:14:00,49.1,43.2,29.99,WSW,257,0.0,0.0,80,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 12:14:00,

2015-04-11 05:19:00,48.9,42.7,29.99,West,259,0.0,0.0,79,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 12:19:00,

2015-04-11 05:24:00,48.6,43.0,29.99,WSW,257,0.0,0.0,81,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 12:24:00,

2015-04-11 05:29:00,48.4,43.2,29.99,WSW,257,0.0,0.0,82,0.00,,,0.00,WUHU216DAVISVP2,2015-04-11 12:29:00,

