Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2016-01-05 00:03:00,47.5,43.2,29.81,ESE,107,0.0,0.0,85,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 08:03:00,

2016-01-05 00:08:00,47.5,42.9,29.80,ESE,108,0.0,0.0,84,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 08:08:00,

2016-01-05 00:13:00,47.5,43.2,29.80,ESE,108,0.0,1.0,85,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 08:13:00,

2016-01-05 00:18:00,47.7,43.4,29.79,ESE,107,1.0,1.0,85,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 08:18:00,

2016-01-05 00:23:00,47.8,43.5,29.79,ESE,107,0.0,1.0,85,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 08:23:00,

2016-01-05 00:28:00,47.9,43.6,29.79,ESE,107,0.0,1.0,85,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 08:28:00,

2016-01-05 00:34:00,48.0,43.4,29.79,ESE,107,0.0,1.0,84,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 08:34:00,

2016-01-05 00:39:00,47.9,43.3,29.79,ESE,108,0.0,0.0,84,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 08:39:00,

2016-01-05 00:43:00,47.9,43.6,29.79,ESE,108,0.0,0.0,85,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 08:43:00,

2016-01-05 00:49:00,47.9,43.3,29.79,ESE,108,0.0,0.0,84,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 08:49:00,

2016-01-05 00:53:00,48.0,43.7,29.79,ESE,108,0.0,1.0,85,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 08:53:00,

2016-01-05 00:58:00,48.1,43.5,29.80,ESE,108,0.0,1.0,84,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 08:58:00,

2016-01-05 01:03:00,48.0,43.4,29.79,ESE,107,0.0,1.0,84,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 09:03:00,

2016-01-05 01:08:00,48.0,43.4,29.79,ESE,107,0.0,1.0,84,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 09:08:00,

2016-01-05 01:13:00,48.0,43.4,29.79,ESE,107,0.0,0.0,84,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 09:13:00,

2016-01-05 01:18:00,47.9,43.3,29.79,ESE,107,0.0,0.0,84,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 09:18:00,

2016-01-05 01:23:00,47.9,43.6,29.79,ESE,107,0.0,0.0,85,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 09:23:00,

2016-01-05 01:28:00,47.9,43.6,29.79,ESE,107,0.0,0.0,85,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 09:28:00,

2016-01-05 01:33:00,47.9,43.6,29.79,ESE,107,0.0,0.0,85,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 09:33:00,

2016-01-05 01:38:00,47.9,43.6,29.79,ESE,107,0.0,0.0,85,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 09:38:00,

2016-01-05 01:43:00,48.0,43.7,29.78,ESE,108,0.0,0.0,85,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 09:43:00,

2016-01-05 01:53:00,48.5,43.9,29.77,North,354,0.0,1.0,84,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 09:53:00,

2016-01-05 01:58:00,48.7,43.8,29.77,North,354,0.0,1.0,83,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 09:58:00,

2016-01-05 02:03:00,48.8,43.9,29.77,SSE,158,0.0,1.0,83,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 10:03:00,

2016-01-05 02:08:00,49.1,43.9,29.76,NNE,18,1.0,1.0,82,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 10:08:00,

2016-01-05 02:13:00,49.5,43.9,29.76,NE,39,1.0,2.0,81,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 10:13:00,

2016-01-05 02:18:00,49.9,44.0,29.76,ESE,105,1.0,2.0,80,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 10:18:00,

2016-01-05 02:28:00,50.5,44.3,29.75,East,95,1.0,2.0,79,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 10:28:00,

2016-01-05 02:33:00,50.6,44.4,29.75,East,98,1.0,2.0,79,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 10:33:00,

2016-01-05 02:38:00,50.7,44.5,29.75,East,91,1.0,1.0,79,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 10:38:00,

2016-01-05 02:43:00,50.6,44.3,29.76,ESE,121,1.0,1.0,79,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 10:43:00,

2016-01-05 02:48:00,50.5,44.2,29.76,SE,128,0.0,1.0,79,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 10:48:00,

2016-01-05 02:53:00,50.4,44.1,29.76,SE,128,0.0,1.0,79,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 10:53:00,

2016-01-05 02:58:00,50.4,44.5,29.76,SW,233,0.0,1.0,80,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 10:58:00,

2016-01-05 03:03:00,50.4,44.5,29.76,SW,233,1.0,1.0,80,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 11:03:00,

2016-01-05 03:08:00,50.3,44.7,29.75,SSW,195,0.0,1.0,81,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 11:08:00,

2016-01-05 03:13:00,50.2,44.6,29.75,SSW,198,0.0,1.0,81,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 11:13:00,

2016-01-05 03:18:00,50.2,44.6,29.75,SSW,200,0.0,1.0,81,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 11:18:00,

2016-01-05 03:23:00,50.4,44.8,29.75,SW,221,0.0,1.0,81,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 11:23:00,

2016-01-05 03:28:00,50.4,44.8,29.74,SW,221,0.0,0.0,81,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 11:28:00,

2016-01-05 03:33:00,50.3,44.7,29.75,SW,221,0.0,0.0,81,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 11:33:00,

2016-01-05 03:38:00,50.2,44.9,29.75,SW,221,0.0,0.0,82,0.00,,,0.00,WUHU216DAVISVP2,2016-01-05 11:38:00,

