Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2015-01-01 00:00:00,10.5,10.5,26.15,North,0,0.0,0.0,100,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 08:00:00,

2015-01-01 00:05:00,38.0,-12.0,30.06,North,356,0.0,0.0,11,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 08:05:00,

2015-01-01 00:15:00,10.9,10.9,26.15,North,0,0.0,0.0,100,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 08:15:00,

2015-01-01 00:20:00,10.0,10.0,26.16,N/A,-32768,0.0,0.0,100,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 08:20:00,

2015-01-01 00:25:00,9.5,9.5,26.16,N/A,-32768,0.0,0.0,100,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 08:25:00,

2015-01-01 00:30:00,9.6,9.6,26.16,N/A,-32768,0.0,0.0,100,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 08:30:00,

2015-01-01 00:35:00,9.0,9.0,26.15,N/A,-32768,0.0,0.0,100,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 08:35:00,

2015-01-01 00:40:00,36.5,-9.8,30.06,North,356,0.0,0.0,13,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 08:40:00,

2015-01-01 00:45:00,9.4,9.4,26.15,N/A,-32768,0.0,0.0,100,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 08:45:00,

2015-01-01 00:50:00,8.4,8.4,26.16,N/A,-32768,0.0,0.0,100,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 08:50:00,

2015-01-01 00:55:00,8.8,8.8,26.16,N/A,-32768,0.0,0.0,100,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 08:55:00,

2015-01-01 01:00:00,35.2,-9.3,30.06,North,356,0.0,0.0,14,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 09:00:00,

2015-01-01 01:05:00,8.9,8.9,26.15,North,0,0.0,0.0,100,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 09:05:00,

2015-01-01 01:15:00,33.4,-8.1,30.07,North,356,0.0,0.0,16,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 09:15:00,

2015-01-01 01:20:00,32.8,-7.3,30.07,North,356,0.0,0.0,17,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 09:20:00,

2015-01-01 01:25:00,8.2,8.2,26.16,N/A,-32768,0.0,0.0,100,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 09:25:00,

2015-01-01 01:35:00,8.4,8.4,26.16,N/A,-32768,0.0,0.0,100,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 09:35:00,

2015-01-01 01:40:00,30.3,-2.2,30.08,North,356,0.0,0.0,24,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 09:40:00,

2015-01-01 01:45:00,8.8,8.8,26.16,N/A,-32768,0.0,0.0,100,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 09:45:00,

2015-01-01 01:50:00,9.0,9.0,26.16,N/A,-32768,0.0,0.0,100,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 09:50:00,

2015-01-01 01:55:00,9.1,9.1,26.16,N/A,-32768,0.0,0.0,100,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 09:55:00,

2015-01-01 02:00:00,29.1,-1.6,30.08,North,356,0.0,0.0,26,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 10:00:00,

2015-01-01 02:10:00,29.0,-0.1,30.08,North,356,0.0,0.0,28,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 10:10:00,

2015-01-01 02:20:00,28.7,-0.4,30.09,North,356,0.0,0.0,28,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 10:20:00,

2015-01-01 02:30:00,28.5,-0.5,30.09,North,357,0.0,0.0,28,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 10:30:00,

2015-01-01 02:40:00,28.5,-1.3,30.09,North,357,0.0,0.0,27,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 10:40:00,

2015-01-01 02:45:00,28.5,-2.1,30.09,North,357,0.0,0.0,26,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 10:45:00,

2015-01-01 02:55:00,28.7,-1.1,30.08,North,357,0.0,0.0,27,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 10:55:00,

2015-01-01 03:05:00,28.4,1.6,30.09,North,357,0.0,0.0,31,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 11:05:00,

2015-01-01 03:15:00,27.6,2.8,30.09,North,357,0.0,0.0,34,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 11:15:00,

2015-01-01 03:25:00,27.2,2.5,30.10,North,357,0.0,0.0,34,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 11:25:00,

2015-01-01 03:35:00,27.8,1.7,30.10,North,357,0.0,0.0,32,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 11:35:00,

2015-01-01 03:45:00,29.7,0.5,30.10,North,357,0.0,0.0,28,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 11:45:00,

2015-01-01 03:55:00,30.3,1.0,30.09,North,357,0.0,0.0,28,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 11:55:00,

2015-01-01 04:05:00,29.8,2.1,30.10,North,357,0.0,0.0,30,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 12:05:00,

2015-01-01 04:15:00,29.7,1.3,30.10,North,357,0.0,0.0,29,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 12:15:00,

2015-01-01 04:25:00,29.8,2.1,30.10,North,357,0.0,0.0,30,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 12:25:00,

2015-01-01 04:30:00,29.8,2.1,30.10,North,357,0.0,0.0,30,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 12:30:00,

2015-01-01 04:40:00,30.3,1.8,30.10,North,357,0.0,0.0,29,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 12:40:00,

2015-01-01 04:50:00,30.9,1.6,30.10,North,357,0.0,0.0,28,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 12:50:00,

2015-01-01 05:00:00,30.6,1.3,30.10,North,357,0.0,0.0,28,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 13:00:00,

2015-01-01 05:10:00,32.1,-0.7,30.10,North,357,0.0,0.0,24,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 13:10:00,

2015-01-01 05:15:00,33.2,0.2,30.10,North,357,0.0,0.0,24,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 13:15:00,

2015-01-01 05:25:00,35.0,0.9,30.11,North,357,0.0,0.0,23,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 13:25:00,

2015-01-01 05:35:00,35.5,1.3,30.11,North,357,0.0,0.0,23,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 13:35:00,

2015-01-01 05:45:00,35.0,2.7,30.11,North,357,0.0,0.0,25,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 13:45:00,

2015-01-01 05:55:00,34.1,2.7,30.11,North,357,0.0,0.0,26,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 13:55:00,

2015-01-01 06:05:00,34.3,2.9,30.12,North,357,0.0,0.0,26,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 14:05:00,

2015-01-01 06:15:00,33.1,-2.7,30.12,North,357,0.0,0.0,21,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 14:15:00,

2015-01-01 06:25:00,31.3,-3.2,30.13,North,357,0.0,0.0,22,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 14:25:00,

2015-01-01 06:30:00,30.4,-3.1,30.13,North,357,0.0,0.0,23,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 14:30:00,

2015-01-01 06:40:00,29.3,-2.2,30.14,North,357,0.0,0.0,25,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 14:40:00,

2015-01-01 06:45:00,28.5,-2.9,30.14,North,357,0.0,0.0,25,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 14:45:00,

2015-01-01 06:55:00,27.8,-3.5,30.16,North,357,0.0,0.0,25,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 14:55:00,

2015-01-01 07:05:00,27.0,-2.6,30.16,North,357,0.0,0.0,27,0.00,,,0.00,9,Wunderground v.1.15,2015-01-01 15:05:00,

2015-01-01 07:15:00,26.4,-2.4,30.16,North,357,0.0,0.0,28,0.00,,,0.00,18,Wunderground v.1.15,2015-01-01 15:15:00,

2015-01-01 07:25:00,26.0,-2.7,30.17,North,357,0.0,0.0,28,0.00,,,0.00,42,Wunderground v.1.15,2015-01-01 15:25:00,

2015-01-01 07:30:00,26.0,-2.7,30.17,North,357,0.0,0.0,28,0.00,,,0.00,62,Wunderground v.1.15,2015-01-01 15:30:00,

2015-01-01 07:40:00,26.1,-2.6,30.18,North,357,0.0,0.0,28,0.00,,,0.00,95,Wunderground v.1.15,2015-01-01 15:40:00,

2015-01-01 07:50:00,27.0,-1.8,30.18,North,357,0.0,0.0,28,0.00,,,0.00,127,Wunderground v.1.15,2015-01-01 15:50:00,

2015-01-01 07:55:00,27.8,0.3,30.18,North,357,0.0,0.0,30,0.00,,,0.00,142,Wunderground v.1.15,2015-01-01 15:55:00,

2015-01-01 08:05:00,29.1,1.5,30.17,North,357,0.0,0.0,30,0.00,,,0.00,174,Wunderground v.1.15,2015-01-01 16:05:00,

2015-01-01 08:10:00,30.0,3.0,30.17,North,357,0.0,0.0,31,0.00,,,0.00,190,Wunderground v.1.15,2015-01-01 16:10:00,

2015-01-01 08:20:00,31.2,4.0,30.18,North,357,0.0,0.0,31,0.00,,,0.00,220,Wunderground v.1.15,2015-01-01 16:20:00,

2015-01-01 08:30:00,32.8,4.7,30.18,North,357,0.0,0.0,30,0.00,,,0.00,248,Wunderground v.1.15,2015-01-01 16:30:00,

2015-01-01 08:35:00,18.5,18.5,26.22,N/A,-32768,0.0,0.0,100,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 16:35:00,

2015-01-01 08:40:00,18.6,18.6,26.22,North,0,0.0,0.0,100,0.00,,,0.00,0,Wunderground v.1.15,2015-01-01 16:40:00,

2015-01-01 08:45:00,34.6,0.5,30.19,North,357,0.0,0.0,23,0.00,,,0.00,292,Wunderground v.1.15,2015-01-01 16:45:00,

