Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2016-01-12 22:42:00,-999.9,-99.9,-100.0,North,-9999,-999.9,-999.0,-999,-99.99,,,-99.99,Acu-Link.com,2016-01-13 06:42:00
2016-01-19 20:04:00,-999.9,-99.9,-100.0,North,-9999,-999.9,-999.0,-999,-99.99,,,-99.99,Acu-Link.com,2016-01-20 04:04:00
2016-01-19 20:19:00,56.1,54.4,29.96,ENE,67,0.0,-999.0,94,-99.99,,,0.44,Acu-Link.com,2016-01-20 04:19:00
2016-01-19 20:35:00,56.1,54.4,29.97,East,90,0.0,-999.0,94,-99.99,,,0.44,Acu-Link.com,2016-01-20 04:35:00
2016-01-19 20:50:00,55.9,54.2,29.98,East,90,0.0,-999.0,94,-99.99,,,0.44,Acu-Link.com,2016-01-20 04:50:00
2016-01-19 21:05:00,55.9,54.2,29.99,ESE,112,0.0,-999.0,94,-99.99,,,0.44,Acu-Link.com,2016-01-20 05:05:00
2016-01-19 21:20:00,55.9,54.2,29.99,ESE,112,0.0,-999.0,94,-99.99,,,0.44,Acu-Link.com,2016-01-20 05:20:00
2016-01-19 21:35:00,55.9,54.2,29.98,ESE,112,0.0,-999.0,94,-99.99,,,0.44,Acu-Link.com,2016-01-20 05:35:00
2016-01-19 21:51:00,55.9,54.2,29.99,ENE,67,0.0,-999.0,94,-99.99,,,0.44,Acu-Link.com,2016-01-20 05:51:00
2016-01-19 22:06:00,55.9,54.2,29.99,WSW,247,0.0,-999.0,94,-99.99,,,0.44,Acu-Link.com,2016-01-20 06:06:00
2016-01-19 22:21:00,55.9,54.2,30.0,WNW,292,2.7,-999.0,94,-99.99,,,0.44,Acu-Link.com,2016-01-20 06:21:00
2016-01-19 22:36:00,55.9,54.2,30.0,West,270,2.7,-999.0,94,-99.99,,,0.44,Acu-Link.com,2016-01-20 06:36:00
2016-01-19 22:51:00,55.9,54.2,29.99,West,270,2.2,-999.0,94,-99.99,,,0.44,Acu-Link.com,2016-01-20 06:51:00
2016-01-19 23:22:00,55.9,54.2,29.98,SSW,202,0.0,-999.0,94,-99.99,,,0.44,Acu-Link.com,2016-01-20 07:22:00
2016-01-19 23:37:00,55.9,54.2,29.99,West,270,0.0,-999.0,94,-99.99,,,0.44,Acu-Link.com,2016-01-20 07:37:00
2016-01-19 23:52:00,55.8,54.1,29.99,NW,315,2.7,-999.0,94,-99.99,,,0.44,Acu-Link.com,2016-01-20 07:52:00
2016-01-20 00:07:00,55.6,53.9,29.99,WNW,292,2.2,-999.0,94,-99.99,,,0.0,Acu-Link.com,2016-01-20 08:07:00
2016-01-20 00:22:00,55.4,53.7,29.99,West,270,3.7,-999.0,94,-99.99,,,0.0,Acu-Link.com,2016-01-20 08:22:00
2016-01-20 00:38:00,55.4,53.7,29.99,WNW,292,3.2,-999.0,94,-99.99,,,0.0,Acu-Link.com,2016-01-20 08:38:00
2016-01-20 00:53:00,55.4,53.7,29.98,West,270,0.0,-999.0,94,-99.99,,,0.0,Acu-Link.com,2016-01-20 08:53:00
2016-01-20 01:08:00,55.2,53.5,29.98,West,270,2.2,-999.0,94,-99.99,,,0.0,Acu-Link.com,2016-01-20 09:08:00
2016-01-20 01:23:00,55.2,53.5,29.97,SW,225,0.0,-999.0,94,-99.99,,,0.01,Acu-Link.com,2016-01-20 09:23:00
2016-01-20 01:38:00,55.0,53.3,29.97,WNW,292,0.0,-999.0,94,-99.99,,,0.01,Acu-Link.com,2016-01-20 09:38:00
2016-01-20 01:54:00,55.0,53.3,29.99,WNW,292,0.0,-999.0,94,-99.99,,,0.01,Acu-Link.com,2016-01-20 09:54:00
2016-01-20 02:09:00,55.0,53.3,29.99,NNE,22,0.0,-999.0,94,-99.99,,,0.01,Acu-Link.com,2016-01-20 10:09:00
2016-01-20 02:39:00,54.9,53.2,29.98,ENE,67,0.0,-999.0,94,-99.99,,,0.01,Acu-Link.com,2016-01-20 10:39:00
2016-01-20 02:54:00,54.9,53.2,29.98,NE,45,0.0,-999.0,94,-99.99,,,0.01,Acu-Link.com,2016-01-20 10:54:00
2016-01-20 03:10:00,54.9,53.2,29.99,NNE,22,0.0,-999.0,94,-99.99,,,0.01,Acu-Link.com,2016-01-20 11:10:00
2016-01-20 03:25:00,54.9,53.2,29.98,NNE,22,2.2,-999.0,94,-99.99,,,0.01,Acu-Link.com,2016-01-20 11:25:00
2016-01-20 03:40:00,54.9,53.2,29.99,ESE,112,0.0,-999.0,94,-99.99,,,0.01,Acu-Link.com,2016-01-20 11:40:00
2016-01-20 03:55:00,54.9,53.2,29.98,ENE,67,0.0,-999.0,94,-99.99,,,0.01,Acu-Link.com,2016-01-20 11:55:00
2016-01-20 04:11:00,54.9,53.2,29.98,East,90,0.0,-999.0,94,-99.99,,,0.01,Acu-Link.com,2016-01-20 12:11:00
2016-01-20 04:26:00,54.7,53.0,29.98,East,90,2.7,-999.0,94,-99.99,,,0.02,Acu-Link.com,2016-01-20 12:26:00
2016-01-20 04:41:00,54.7,53.0,29.98,ENE,67,4.2,-999.0,94,-99.99,,,0.02,Acu-Link.com,2016-01-20 12:41:00
2016-01-20 04:56:00,54.7,53.0,29.98,NE,45,3.7,-999.0,94,-99.99,,,0.02,Acu-Link.com,2016-01-20 12:56:00
2016-01-20 05:11:00,54.5,52.8,29.99,NNE,22,4.2,-999.0,94,-99.99,,,0.02,Acu-Link.com,2016-01-20 13:11:00
2016-01-20 05:27:00,54.5,52.8,29.99,NNE,22,3.2,-999.0,94,-99.99,,,0.02,Acu-Link.com,2016-01-20 13:27:00
2016-01-20 05:42:00,54.5,52.8,29.99,NNW,337,4.2,-999.0,94,-99.99,,,0.02,Acu-Link.com,2016-01-20 13:42:00
2016-01-20 05:57:00,54.5,52.8,29.99,NNW,337,6.3,-999.0,94,-99.99,,,0.02,Acu-Link.com,2016-01-20 13:57:00
2016-01-20 06:12:00,54.5,52.8,30.0,West,270,5.8,-999.0,94,-99.99,,,0.02,Acu-Link.com,2016-01-20 14:12:00
2016-01-20 06:27:00,54.1,52.4,29.99,ESE,112,3.7,-999.0,94,-99.99,,,0.02,Acu-Link.com,2016-01-20 14:27:00
2016-01-20 06:43:00,54.0,52.3,30.0,WNW,292,5.8,-999.0,94,-99.99,,,0.02,Acu-Link.com,2016-01-20 14:43:00
2016-01-20 06:58:00,54.1,52.4,30.0,NW,315,7.8,-999.0,94,-99.99,,,0.02,Acu-Link.com,2016-01-20 14:58:00
2016-01-20 07:13:00,54.1,52.4,30.01,NNW,337,7.8,-999.0,94,-99.99,,,0.02,Acu-Link.com,2016-01-20 15:13:00
2016-01-20 07:28:00,54.0,52.3,30.01,NNW,337,5.8,-999.0,94,-99.99,,,0.02,Acu-Link.com,2016-01-20 15:28:00
2016-01-20 07:43:00,54.3,52.3,30.01,NW,315,7.3,-999.0,93,-99.99,,,0.02,Acu-Link.com,2016-01-20 15:43:00
2016-01-20 08:14:00,55.8,52.6,30.02,NNW,337,5.8,-999.0,89,-99.99,,,0.02,Acu-Link.com,2016-01-20 16:14:00
2016-01-20 08:44:00,57.0,53.2,30.03,NNW,337,5.3,-999.0,87,-99.99,,,0.02,Acu-Link.com,2016-01-20 16:44:00
2016-01-20 09:00:00,58.5,54.0,30.03,WNW,292,4.7,-999.0,85,-99.99,,,0.02,Acu-Link.com,2016-01-20 17:00:00
2016-01-20 09:15:00,58.5,53.4,30.03,West,270,3.7,-999.0,83,-99.99,,,0.02,Acu-Link.com,2016-01-20 17:15:00
2016-01-20 09:30:00,59.0,53.8,30.04,WSW,247,6.3,-999.0,83,-99.99,,,0.02,Acu-Link.com,2016-01-20 17:30:00
2016-01-20 09:45:00,59.5,53.7,30.04,SW,225,5.3,-999.0,81,-99.99,,,0.02,Acu-Link.com,2016-01-20 17:45:00
2016-01-20 10:00:00,60.1,53.9,30.04,SSW,202,4.7,-999.0,80,-99.99,,,0.02,Acu-Link.com,2016-01-20 18:00:00
2016-01-20 10:16:00,59.5,53.0,30.04,SW,225,5.3,-999.0,79,-99.99,,,0.02,Acu-Link.com,2016-01-20 18:16:00
2016-01-20 10:31:00,60.6,53.3,30.03,WSW,247,7.3,-999.0,77,-99.99,,,0.02,Acu-Link.com,2016-01-20 18:31:00
2016-01-20 10:46:00,59.9,53.4,30.02,SW,225,7.8,-999.0,79,-99.99,,,0.02,Acu-Link.com,2016-01-20 18:46:00
2016-01-20 11:01:00,59.9,53.0,30.02,SW,225,5.8,-999.0,78,-99.99,,,0.02,Acu-Link.com,2016-01-20 19:01:00
2016-01-20 11:16:00,60.3,53.1,30.02,SW,225,6.8,-999.0,77,-99.99,,,0.02,Acu-Link.com,2016-01-20 19:16:00
2016-01-20 11:32:00,60.3,53.4,30.02,SW,225,6.8,-999.0,78,-99.99,,,0.02,Acu-Link.com,2016-01-20 19:32:00
2016-01-20 11:47:00,60.3,53.1,30.01,WSW,247,8.3,-999.0,77,-99.99,,,0.02,Acu-Link.com,2016-01-20 19:47:00
2016-01-20 12:02:00,60.6,53.3,30.0,WSW,247,6.8,-999.0,77,-99.99,,,0.02,Acu-Link.com,2016-01-20 20:02:00
2016-01-20 12:33:00,59.4,53.2,29.98,SSW,202,9.9,-999.0,80,-99.99,,,0.02,Acu-Link.com,2016-01-20 20:33:00
2016-01-20 12:48:00,60.1,53.2,29.97,West,270,6.8,-999.0,78,-99.99,,,0.02,Acu-Link.com,2016-01-20 20:48:00
2016-01-20 13:03:00,60.3,52.7,29.96,WSW,247,9.4,-999.0,76,-99.99,,,0.02,Acu-Link.com,2016-01-20 21:03:00
2016-01-20 13:18:00,60.1,52.9,29.96,West,270,7.3,-999.0,77,-99.99,,,0.02,Acu-Link.com,2016-01-20 21:18:00
2016-01-20 13:49:00,59.4,53.2,29.95,SW,225,9.4,-999.0,80,-99.99,,,0.02,Acu-Link.com,2016-01-20 21:49:00
2016-01-20 14:04:00,59.7,53.2,29.94,SSW,202,7.8,-999.0,79,-99.99,,,0.02,Acu-Link.com,2016-01-20 22:04:00
2016-01-20 14:19:00,59.4,53.2,29.94,West,270,7.3,-999.0,80,-99.99,,,0.02,Acu-Link.com,2016-01-20 22:19:00
2016-01-20 14:34:00,58.8,52.6,29.93,WSW,247,7.8,-999.0,80,-99.99,,,0.02,Acu-Link.com,2016-01-20 22:34:00
