Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2015-01-01 00:21:00,36.0,27.0,30.14,ENE,74,8.0,10.0,69,0.0,,,0.0,,2015-01-01 08:21:00
2015-01-01 00:52:00,36.0,28.0,30.15,South,173,5.0,10.0,71,0.0,,,0.0,,2015-01-01 08:52:00
2015-01-01 01:22:00,31.0,26.0,30.16,SSE,164,3.0,5.0,83,0.0,,,0.0,,2015-01-01 09:22:00
2015-01-01 01:52:00,31.0,28.0,30.16,ESE,104,1.0,5.0,87,0.0,,,0.0,,2015-01-01 09:52:00
2015-01-01 02:22:00,32.0,29.0,30.17,East,100,2.0,5.0,88,0.0,,,0.0,,2015-01-01 10:22:00
2015-01-01 02:52:00,34.0,28.0,30.17,East,93,5.0,7.0,79,0.0,,,0.0,,2015-01-01 10:52:00
2015-01-01 03:22:00,33.0,27.0,30.17,East,89,3.0,8.0,77,0.0,,,0.0,,2015-01-01 11:22:00
2015-01-01 03:53:00,32.0,26.0,30.16,ENE,75,9.0,11.0,77,0.0,,,0.0,,2015-01-01 11:53:00
2015-01-01 04:22:00,35.0,26.0,30.16,ENE,69,8.0,11.0,68,0.0,,,0.0,,2015-01-01 12:22:00
2015-01-01 04:52:00,35.0,26.0,30.15,East,89,6.0,10.0,68,0.0,,,0.0,,2015-01-01 12:52:00
2015-01-01 05:11:00,35.0,25.0,30.14,East,84,7.0,9.0,66,0.0,,,0.0,,2015-01-01 13:11:00
2015-01-01 05:22:00,35.0,25.0,30.14,East,84,7.0,9.0,66,0.0,,,0.0,,2015-01-01 13:22:00
2015-01-01 05:52:00,36.0,24.0,30.14,ENE,78,9.0,11.0,62,0.0,,,0.0,,2015-01-01 13:52:00
2015-01-01 06:21:00,37.0,23.0,30.15,East,89,8.0,10.0,57,0.0,,,0.0,,2015-01-01 14:21:00
2015-01-01 06:52:00,36.0,23.0,30.16,East,85,8.0,10.0,59,0.0,,,0.0,,2015-01-01 14:52:00
2015-01-01 07:12:00,36.0,23.0,30.17,East,82,6.0,8.0,59,0.0,,,0.0,,2015-01-01 15:12:00
2015-01-01 07:22:00,34.0,23.0,30.17,North,0,0.0,4.0,65,0.0,,,0.0,,2015-01-01 15:22:00
2015-01-01 07:54:00,34.0,23.0,30.18,SE,131,4.0,6.0,63,0.0,,,0.0,,2015-01-01 15:54:00
2015-01-01 08:24:00,34.0,24.0,30.19,South,191,2.0,4.0,67,0.0,,,0.0,,2015-01-01 16:24:00
2015-01-01 08:53:00,37.0,26.0,30.2,North,0,0.0,5.0,63,0.0,,,0.0,,2015-01-01 16:53:00
2015-01-01 09:22:00,41.0,25.0,30.19,North,0,0.0,1.0,52,0.0,,,0.0,,2015-01-01 17:22:00
2015-01-01 09:53:00,41.0,28.0,30.2,SSW,204,3.0,4.0,59,0.0,,,0.0,,2015-01-01 17:53:00
2015-01-01 10:22:00,40.0,30.0,30.21,SW,229,5.0,7.0,67,0.0,,,0.0,,2015-01-01 18:22:00
2015-01-01 10:54:00,41.0,31.0,30.2,WSW,239,5.0,7.0,66,0.0,,,0.0,,2015-01-01 18:54:00
2015-01-01 11:22:00,43.0,30.0,30.2,North,0,0.0,4.0,60,0.0,,,0.0,,2015-01-01 19:22:00
2015-01-01 12:22:00,48.0,28.0,30.18,North,0,0.0,2.0,45,0.0,,,0.0,,2015-01-01 20:22:00
2015-01-01 12:52:00,49.0,27.0,30.16,SSW,210,2.0,4.0,43,0.0,,,0.0,,2015-01-01 20:52:00
2015-01-01 13:22:00,50.0,28.0,30.16,SW,224,4.0,6.0,42,0.0,,,0.0,,2015-01-01 21:22:00
2015-01-01 13:54:00,51.0,28.0,30.16,SSW,213,2.0,5.0,41,0.0,,,0.0,,2015-01-01 21:54:00
