Time,Date / Time,Date,Time,Date UTC,Temp (F),Dewpoint (F),Humidity (%),Pressure (inHg),Wind Dir,Wind Deg (deg),Wind Speed (mph),Wind Speed Gust (mph),Solar Radiation (W/m^2),Cloud Base (ft),Precip Daily (in),Precip Hourly (in)
2016-03-20 08:33:00,2016-03-20 08:33:00,2016-03-20,08:33:00,2016-03-20 15:33:00,57.0,53.8,89.0,30.15,North,349.0,0.4,2.5,91.9,1127.0,0.0,0.0
2016-03-20 08:28:00,2016-03-20 08:28:00,2016-03-20,08:28:00,2016-03-20 15:28:00,56.7,53.4,89.0,30.16,North,,0.0,0.0,87.92,1150.0,0.0,0.0
2016-03-20 08:23:00,2016-03-20 08:23:00,2016-03-20,08:23:00,2016-03-20 15:23:00,56.5,53.2,89.0,30.15,East,,0.0,0.0,79.75,1150.0,0.0,0.0
2016-03-20 08:18:00,2016-03-20 08:18:00,2016-03-20,08:18:00,2016-03-20 15:18:00,56.1,53.2,90.0,30.15,NE,,0.0,0.0,81.7,1059.0,0.0,0.0
2016-03-20 08:13:00,2016-03-20 08:13:00,2016-03-20,08:13:00,2016-03-20 15:13:00,55.9,53.4,91.0,30.15,WNW,,0.0,0.0,77.77,968.0,0.0,0.0
2016-03-20 08:08:00,2016-03-20 08:08:00,2016-03-20,08:08:00,2016-03-20 15:08:00,55.6,52.7,90.0,30.15,NW,320.0,0.4,2.5,68.7,1059.0,0.0,0.0
2016-03-20 08:02:00,2016-03-20 08:02:00,2016-03-20,08:02:00,2016-03-20 15:02:00,55.4,52.5,90.0,30.15,East,,0.0,0.0,64.06,1059.0,0.0,0.0
2016-03-20 07:57:00,2016-03-20 07:57:00,2016-03-20,07:57:00,2016-03-20 14:57:00,55.2,52.7,91.0,30.15,NNE,,0.0,0.0,63.75,968.0,0.0,0.0
2016-03-20 07:52:00,2016-03-20 07:52:00,2016-03-20,07:52:00,2016-03-20 14:52:00,54.9,52.5,92.0,30.15,East,,0.0,0.0,61.54,945.0,0.0,0.0
2016-03-20 07:47:00,2016-03-20 07:47:00,2016-03-20,07:47:00,2016-03-20 14:47:00,54.7,52.7,93.0,30.15,East,,0.0,0.0,58.76,855.0,0.0,0.0
2016-03-20 07:42:00,2016-03-20 07:42:00,2016-03-20,07:42:00,2016-03-20 14:42:00,54.5,52.5,93.0,30.14,ENE,,0.0,0.0,54.68,855.0,0.0,0.0
2016-03-20 07:37:00,2016-03-20 07:37:00,2016-03-20,07:37:00,2016-03-20 14:37:00,54.5,52.5,93.0,30.14,ENE,,0.0,0.0,47.65,855.0,0.0,0.0
2016-03-20 07:32:00,2016-03-20 07:32:00,2016-03-20,07:32:00,2016-03-20 14:32:00,54.7,52.7,93.0,30.14,ENE,,0.0,0.0,31.98,855.0,0.0,0.0
2016-03-20 07:27:00,2016-03-20 07:27:00,2016-03-20,07:27:00,2016-03-20 14:27:00,54.7,52.7,93.0,30.14,ENE,,0.0,0.0,24.6,855.0,0.0,0.0
2016-03-20 07:22:00,2016-03-20 07:22:00,2016-03-20,07:22:00,2016-03-20 14:22:00,54.7,52.5,92.0,30.14,ENE,,0.0,0.0,19.82,900.0,0.0,0.0
2016-03-20 07:12:00,2016-03-20 07:12:00,2016-03-20,07:12:00,2016-03-20 14:12:00,54.9,52.5,92.0,30.13,NE,,0.0,0.0,7.67,945.0,0.0,0.0
2016-03-20 07:07:00,2016-03-20 07:07:00,2016-03-20,07:07:00,2016-03-20 14:07:00,55.0,52.7,92.0,30.13,North,,0.0,0.0,3.91,923.0,0.0,0.0
2016-03-20 07:02:00,2016-03-20 07:02:00,2016-03-20,07:02:00,2016-03-20 14:02:00,55.2,52.7,91.0,30.12,NE,43.0,0.4,2.5,0.0,968.0,0.0,0.0
2016-03-20 06:57:00,2016-03-20 06:57:00,2016-03-20,06:57:00,2016-03-20 13:57:00,55.4,52.9,91.0,30.13,NNE,13.0,1.8,2.5,0.0,968.0,0.0,0.0
2016-03-20 06:52:00,2016-03-20 06:52:00,2016-03-20,06:52:00,2016-03-20 13:52:00,55.6,53.1,91.0,30.12,NE,56.0,0.2,2.5,0.0,968.0,0.0,0.0
2016-03-20 06:46:00,2016-03-20 06:46:00,2016-03-20,06:46:00,2016-03-20 13:46:00,55.8,53.4,92.0,30.12,NNW,345.0,0.9,2.5,0.0,945.0,0.0,0.0
2016-03-20 06:41:00,2016-03-20 06:41:00,2016-03-20,06:41:00,2016-03-20 13:41:00,55.9,53.4,91.0,30.13,North,351.0,0.4,2.5,0.0,968.0,0.0,0.0
2016-03-20 06:36:00,2016-03-20 06:36:00,2016-03-20,06:36:00,2016-03-20 13:36:00,56.1,53.6,91.0,30.12,North,351.0,0.4,2.5,0.0,968.0,0.0,0.0
2016-03-20 06:26:00,2016-03-20 06:26:00,2016-03-20,06:26:00,2016-03-20 13:26:00,56.5,53.6,90.0,30.12,ENE,,0.0,0.0,0.0,1059.0,0.0,0.0
2016-03-20 06:21:00,2016-03-20 06:21:00,2016-03-20,06:21:00,2016-03-20 13:21:00,56.7,53.8,90.0,30.12,NNE,19.0,0.4,2.5,0.0,1059.0,0.0,0.0
2016-03-20 06:16:00,2016-03-20 06:16:00,2016-03-20,06:16:00,2016-03-20 13:16:00,56.8,53.6,89.0,30.11,ENE,,0.0,0.0,0.0,1127.0,0.0,0.0
2016-03-20 06:11:00,2016-03-20 06:11:00,2016-03-20,06:11:00,2016-03-20 13:11:00,57.2,53.8,88.0,30.11,NE,,0.0,0.0,0.0,1173.0,0.0,0.0
2016-03-20 06:06:00,2016-03-20 06:06:00,2016-03-20,06:06:00,2016-03-20 13:06:00,57.2,53.8,88.0,30.11,West,,0.0,0.0,0.0,1173.0,0.0,0.0
2016-03-20 06:01:00,2016-03-20 06:01:00,2016-03-20,06:01:00,2016-03-20 13:01:00,57.4,53.6,87.0,30.12,WNW,,0.0,0.0,0.0,1264.0,0.0,0.0
