,Date / Time,Date,Time,Avg Temp,Max Temp,Min Temp,Avg Dwpt,Max Dwpt,Min Dwpt,Avg Hum,Max Hum,Min Hum,Avg Pres,Max Pres,Min Pres,Wnd Deg,Avg Wnd Spd Gst,Max Wnd Spd Gst,Min Wnd Spd Gst,Avg Wnd Spd,Max Wnd Spd,Min Wnd Spd,Avg Solr Rad,Max Solr Rad,Min Solr Rad,Avg Cldbs,Max Cldbs,Min Cldbs,Avg Prcp Dly,Max Prcp Dly,Avg Prcp Hrly,Max Prcp Hrly,Cum Prcp
96,2016-08-04 20:00:00,2016-08-04,20:00,93.2,93.4,93.0,48.8,48.9,48.6,22.0,22.0,22.0,29.72,29.73,29.72,22.5,1.2,2.5,0.0,0.4,0.9,0.0,0.0,0.0,0.0,10502.0,10514.0,10491.0,0.0,0.0,0.0,0.0,0.0
95,2016-08-04 19:45:00,2016-08-04,19:45,93.9,94.3,93.6,49.0,49.5,48.4,22.0,22.0,21.0,29.72,29.73,29.72,0.0,2.5,2.5,2.5,0.8,2.0,0.2,8.3,15.8,2.6,10612.0,10832.0,10491.0,0.0,0.0,0.0,0.0,0.0
94,2016-08-04 19:30:00,2016-08-04,19:30,94.7,94.8,94.6,47.4,48.7,46.2,20.0,21.0,19.0,29.72,29.72,29.72,180.0,3.7,4.9,2.5,2.8,4.2,1.3,24.5,27.3,21.7,11138.0,11445.0,10832.0,0.0,0.0,0.0,0.0,0.0
93,2016-08-04 19:15:00,2016-08-04,19:15,95.3,95.4,95.2,33.7,38.5,30.2,12.0,14.0,10.0,29.72,29.72,29.72,22.5,4.9,4.9,4.9,3.1,4.0,2.5,48.5,60.8,35.4,14400.0,15218.0,13286.0,0.0,0.0,0.0,0.0,0.0
92,2016-08-04 19:00:00,2016-08-04,19:00,95.8,96.1,95.5,30.6,30.7,30.4,10.0,10.0,10.0,29.72,29.72,29.72,180.0,3.7,4.9,2.5,2.4,2.9,2.0,177.7,245.4,110.0,15230.0,15264.0,15195.0,0.0,0.0,0.0,0.0,0.0
91,2016-08-04 18:45:00,2016-08-04,18:45,96.3,96.4,96.1,30.9,31.1,30.7,10.0,10.0,10.0,29.72,29.72,29.72,0.0,4.9,7.4,2.5,2.6,3.4,1.8,281.8,296.6,265.0,15256.0,15264.0,15241.0,0.0,0.0,0.0,0.0,0.0
90,2016-08-04 18:30:00,2016-08-04,18:30,96.7,96.8,96.6,31.3,31.3,31.3,10.0,10.0,10.0,29.72,29.72,29.72,0.0,6.6,7.4,4.9,4.8,5.8,2.9,337.5,355.9,313.0,15256.0,15286.0,15241.0,0.0,0.0,0.0,0.0,0.0
89,2016-08-04 18:15:00,2016-08-04,18:15,96.9,97.0,96.8,31.4,31.5,31.3,10.0,10.0,10.0,29.72,29.72,29.72,337.5,8.2,9.8,7.4,6.2,7.4,4.5,398.1,411.4,373.4,15286.0,15286.0,15286.0,0.0,0.0,0.0,0.0,0.0
88,2016-08-04 18:00:00,2016-08-04,18:00,97.2,97.2,97.2,31.6,31.6,31.6,10.0,10.0,10.0,29.72,29.72,29.72,0.0,4.1,7.4,2.5,3.0,5.8,1.3,428.5,438.7,417.1,15309.0,15309.0,15309.0,0.0,0.0,0.0,0.0,0.0
87,2016-08-04 17:45:00,2016-08-04,17:45,97.3,97.3,97.2,31.7,31.8,31.6,10.0,10.0,10.0,29.72,29.72,29.72,337.5,7.4,7.4,7.4,6.4,7.4,5.8,464.6,474.0,456.3,15294.0,15309.0,15286.0,0.0,0.0,0.0,0.0,0.0
86,2016-08-04 17:30:00,2016-08-04,17:30,97.8,97.9,97.5,32.1,32.2,31.8,10.0,10.0,10.0,29.72,29.72,29.72,337.5,7.4,9.8,4.9,5.8,8.1,4.2,490.5,501.6,482.4,15332.0,15332.0,15332.0,0.0,0.0,0.0,0.0,0.0
85,2016-08-04 17:15:00,2016-08-04,17:15,98.2,98.2,98.1,32.4,32.4,32.4,10.0,10.0,10.0,29.72,29.73,29.72,0.0,7.4,7.4,7.4,5.0,5.6,4.2,520.3,529.8,512.9,15347.0,15355.0,15332.0,0.0,0.0,0.0,0.0,0.0
84,2016-08-04 17:00:00,2016-08-04,17:00,98.1,98.2,98.1,32.4,32.4,32.4,10.0,10.0,10.0,29.73,29.73,29.73,22.5,7.4,9.8,4.9,5.4,6.7,4.5,539.6,549.6,532.4,15340.0,15355.0,15332.0,0.0,0.0,0.0,0.0,0.0
83,2016-08-04 16:45:00,2016-08-04,16:45,98.1,98.1,98.1,32.4,32.4,32.4,10.0,10.0,10.0,29.73,29.73,29.73,337.5,5.5,9.8,0.0,4.0,7.4,0.0,562.0,564.7,556.4,15332.0,15332.0,15332.0,0.0,0.0,0.0,0.0,0.0
