,Cloud Base,Dewpoint,Humidity,Precip Daily,Precip Hourly,Pressure,Solar Radiation,Temp,Wind Deg,Wind Speed,Wind Speed Gust
Day Min,423.0,45.5,43.0,0.0,0.0,30.04,0.0,46.2,0.0,0.0,0.0
Day Avg,2769.3,49.17,71.26,0.0,0.0,30.15,172.13,59.6,173.14,1.02,1.75
Day Max,5786.0,53.4,99.0,0.0,0.0,30.22,604.36,73.4,337.5,7.2,9.8
Week Min,423.0,39.6,22.0,0.0,0.0,29.87,0.0,44.4,0.0,0.0,0.0
Week Avg,2687.85,48.42,72.55,0.0,0.0,30.17,135.15,58.49,176.93,1.32,2.11
Week Max,10105.0,57.0,99.0,0.0,0.0,30.34,696.99,82.6,359.0,15.4,22.4
Month Min,423.0,39.0,22.0,0.0,0.0,29.82,0.0,44.4,0.0,0.0,0.0
Month Avg,2688.08,49.64,72.16,0.02,0.0,30.14,131.01,59.71,175.72,1.15,1.87
Month Max,10105.0,60.3,99.0,0.35,0.57,30.34,758.64,82.6,359.0,15.4,22.4
Year Min,423.0,39.0,22.0,0.0,0.0,29.82,0.0,44.4,0.0,0.0,0.0
Year Avg,2688.08,49.64,72.16,0.02,0.0,30.14,131.01,59.71,175.72,1.15,1.87
Year Max,10105.0,60.3,99.0,0.35,0.57,30.34,758.64,82.6,359.0,15.4,22.4
